"Participant","Experimenter","Experiment_Duration","Date","Mobile","Gender","Age","Education","Ethnicity","PID5_Duration","PID5_Order","PID5_NegativeAffect_10","PID5_Antagonism_25","PID5_Psychoticism_24","PID5_NegativeAffect_8","PID5_Detachment_14","PID5_Antagonism_22","PID5_NegativeAffect_9","PID5_Psychoticism_12","PID5_Antagonism_19","PID5_Antagonism_20","PID5_NegativeAffect_11","PID5_Disinhibition_1","PID5_Detachment_13","PID5_Psychoticism_7","PID5_Psychoticism_21","PID5_Disinhibition_6","PID5_Psychoticism_23","PID5_Detachment_18","PID5_Disinhibition_3","PID5_Antagonism_17","PID5_Detachment_4","PID5_Detachment_16","PID5_Disinhibition_5","PID5_Disinhibition_2","PID5_NegativeAffect_15","IPIP6_Duration","IPIP6_Order","IPIP6_Extraversion_1","IPIP6_Agreeableness_2","IPIP6_Conscientiousness_3","IPIP6_Neuroticism_4","IPIP6_Openness_5","IPIP6_HonestyHumility_6_R","IPIP6_Extraversion_7_R","IPIP6_Agreeableness_8_R","IPIP6_Openness_9_R","IPIP6_Conscientiousness_10","IPIP6_Conscientiousness_11_R","IPIP6_HonestyHumility_12_R","IPIP6_Openness_13_R","IPIP6_Agreeableness_14","IPIP6_Neuroticism_15_R","IPIP6_Neuroticism_16","IPIP6_Neuroticism_17_R","IPIP6_HonestyHumility_18_R","IPIP6_Extraversion_19_R","IPIP6_Agreeableness_20_R","IPIP6_Openness_21_R","IPIP6_Conscientiousness_22_R","IPIP6_Extraversion_23","IPIP6_HonestyHumility_24_R","SSS_Duration","SSS_Order","SSS_19","SSS_10","SSS_20","SSS_14","SSS_7","SSS_11","SSS_9","SSS_2","SSS_16","SSS_5","SSS_18","SSS_1","SSS_8","SSS_17","SSS_3","SSS_21","SSS_4","SSS_12","SSS_13","SSS_6","SSS_15","MIST_Duration","MIST_Order","MIST_Real_A_3","MIST_Real_B_6","MIST_Fake_C_13","MIST_Real_B_7","MIST_Fake_D_16","MIST_Fake_C_10","MIST_Fake_D_15","MIST_Fake_C_9","MIST_Real_A_2","MIST_Real_A_1","MIST_Real_B_8","MIST_Real_A_5","MIST_Fake_D_14","MIST_Fake_C_11","MIST_Fake_C_12","MIST_Real_A_4","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","IPIP6_SD","PID5_Disinhibition","PID5_Detachment","PID5_NegativeAffect","PID5_Antagonism","PID5_Psychoticism","PID5_SD","SSS_General","SSS_SD","MIST_RealDetection","MIST_FakeDetection","MIST_Discernment","MIST_Distrust","MIST_Naivete"
"S222","SONA",32.9472333333333,"23/02/2024","False","Female",19,"High School","White",2.62563333333333,1,2,0,0,1,1,0,2,0,1,1,1,1,2,2,2,2,3,0,1,0,1,1,1,1,2,1.99786666666667,4,0.28,1,0.05,0.67,0.57,0.03,0.23,0.14,0.22,0.31,0.63,0.5,0.43,0.9,0.54,0.71,0.28,0.09,0.5,0.18,0.34,1,0.65,0.15,2.77413333333333,2,2,2,0,1,1,1,0,0,1,0,2,1,1,3,0,1,1,3,3,1,0,2.8145,3,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0.55,0.1825,0.64,0.645,0.8075,0.895,0.15087844735983,1.2,1,1.6,0.4,1.4,0.718281255639342,0.285714285714286,1.01418510567422,3,1,4,-2,2
"S223","SONA",30.4918,"23/02/2024","False","Female",19,"High School","White",3.85098333333333,1,0,0,1,2,0,0,2,0,0,0,2,1,2,1,1,1,2,1,1,0,0,2,0,0,2,1.91467666666706,3,0.72,0.8,0.81,0.57,0.54,0.6,0.24,0.28,0.25,0.75,0.15,0.63,0.17,0.66,0.64,0.31,0.37,0.31,0.38,0.24,0.22,0.2,0.67,0.23,1.6222,2,3,2,0,0,3,1,0,1,3,1,3,1,0,1,0,1,3,1,3,1,2,1.2626,4,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0.6925,0.8025,0.4675,0.725,0.5575,0.735,0.107963978105584,0.6,1,1.6,0,1,0.629851305938326,0.357142857142857,1.16496474502144,4,5,9,1,-1
"S224","SONA",19.0828,"23/02/2024","False","Female",18,"High School","South Asian",1.49433333333333,4,2,1,0,2,0,1,2,0,2,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,2,1.5604,3,0.68,0.72,0.51,0.62,0.61,0.42,0.24,0.4,0.4,0.57,0.58,0.52,0.3,0.71,0.34,0.64,0.49,0.54,0.41,0.4,0.38,0.49,0.64,0.57,0.4854,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.25935,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0.6675,0.5025,0.6075,0.6325,0.4875,0.6575,0.0629905726567029,1,0.4,1.8,1.2,0.2,0.377872668801008,0.5,0,5,0,5,-5,5
"S225","SONA",52.2698833333333,"24/02/2024","False","Female",19,"High School","White",1.25651666666667,1,1,0,1,2,0,0,2,0,0,0,2,1,0,3,3,2,2,1,2,0,2,0,1,2,1,1.1178600000004,2,0.5,0.76,0.25,0.49,0.86,0.12,0.23,0.38,0.64,0.55,0.28,0.41,0.17,0.55,0.35,0.38,0.22,0.5,0.29,0.3,0.25,0.56,0.56,0.4,1.06213333333333,4,3,0,0,0,0,2,1,0,2,0,2,1,1,2,1,1,3,3,2,0,0,0.61255,3,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0.635,0.49,0.575,0.7,0.6425,0.6575,0.16449516172958,1.6,0.6,1.6,0,1.8,0.658742557410156,0.285714285714286,1.1084094137869,6,4,10,-2,2
"S226","SONA",40.4984,"24/02/2024","False","Female",19,"High School","White",1.85048333333333,4,1,0,2,1,0,1,3,0,1,0,0,0,0,2,1,0,2,0,1,1,2,0,0,2,2,1.67615500000119,1,1,0.84,0.77,0,1,0.22,0,0,0.05,0.73,0.08,0.77,0,0.87,0.88,0.06,0.5,0.5,0.07,0.05,0.04,0.34,1,0.25,4.15846666666667,2,1,0,0,0,1,1,1,2,1,1,3,0,0,3,0,0,1,0,1,0,0,3.30505,3,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0.9825,0.77,0.17,0.9775,0.565,0.915,0.120997343393949,0.6,0.4,1.4,0.6,1.4,0.87423591112081,0.19047619047619,0.943650459903555,2,3,5,1,-1
"S227","SONA",17.1630833333333,"24/02/2024","False","Male",19,"High School","White",1.12526666666667,1,1,0,2,2,0,0,1,0,0,0,1,0,2,2,2,1,2,2,1,0,2,1,0,2,2,0.819900000000002,3,0.78,0.95,0.79,0.69,0.33,0.34,0.28,0.07,0.4,0.75,0.27,0.61,0.83,0.83,0.35,0.34,0.32,0.82,0.31,0.19,0.19,0.36,0.7,0.8,0.88115,4,3,3,0,1,2,2,2,2,3,2,1,3,2,2,0,3,1,2,3,2,0,0.782016666666667,2,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0.7225,0.7275,0.59,0.4775,0.3575,0.88,0.141372511860102,0.8,1.4,1.4,0,1.6,0.634647393207815,0.464285714285714,1.01418510567422,0,0,0,0,0
"S228","SONA",22.0355,"24/02/2024","False","Female",19,"High School","White",1.49526666666667,4,2,0,2,1,0,0,2,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,2,2.32958833333353,1,0.19,0.83,0.59,0.53,0.9,0.08,0.41,0.26,0.37,0.74,0.52,0.13,0.13,0.09,0.26,0.59,0.61,0.12,0.54,0.16,0.24,0.3,0.59,0.12,1.53961666666667,2,3,0,0,2,1,3,0,2,2,1,3,2,1,1,2,2,1,2,2,1,0,1.76955,3,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0.4575,0.6275,0.5625,0.79,0.8875,0.625,0.159119832386468,0.6,0.6,1.6,0,1,0.470054890740409,0.369047619047619,0.980767435177556,1,2,3,1,-1
"S229","SONA",23.7591666666667,"25/02/2024","False","Female",20,"High School","White",3.18471666666667,2,1,0,2,1,0,0,0,0,0,1,2,0,1,0,0,0,2,1,0,0,1,2,0,0,1,1.19548166666627,1,0.08,0.59,0.88,0.07,0.66,0.09,0.98,0.19,0.39,1,0.6,0.72,0.34,0.12,0.74,0.06,0.73,0.57,0.81,0.24,0.28,0.01,0.07,0.59,1.2669,4,1,0,0,1,0,1,0,0,2,0,1,0,2,0,0,1,1,3,2,1,0,1.51676666666667,3,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0.09,0.8175,0.165,0.6625,0.5075,0.57,0.184456004196692,0,1,1,0.2,0.8,0.591374454576677,0.19047619047619,0.889087279447969,1,2,3,1,-1
"S230","SONA",70.61615,"25/02/2024","False","Female",18,"Other","White",3.15138333333333,2,2,1,3,3,1,1,2,2,1,0,2,0,1,2,2,2,2,2,2,0,2,1,1,1,2,2.0776,4,0.15,0.94,0.34,0.71,1,0.49,0.86,0.1,0.71,0.49,0.66,0.26,0,0.74,0.02,0.57,0.85,0.56,0.84,0.23,0.5,0.87,0.16,0.32,3.57215,3,2,2,1,2,2,2,2,0,2,1,3,3,1,2,0,2,3,2,2,0,1,5.30306666666667,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0.1525,0.325,0.6025,0.6975,0.5925,0.8375,0.183633571865802,1.2,1.4,2.2,0.6,2.2,0.565306466508865,0.416666666666667,0.912870929175277,3,1,4,-2,2
"S231","SONA",21.5938666666667,"25/02/2024","False","Female",20,"Bachelor","White",1.93488333333333,2,2,0,1,3,0,0,3,0,2,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,2,1.21138333333333,4,0.33,1,0.23,1,0.69,0.06,0.47,0,0.06,0.44,0.57,0.12,0.28,1,0.36,0.83,0.73,0.26,0.5,0.22,0.25,0.23,0.43,0.15,1.22183333333333,3,3,1,0,0,1,4,0,2,2,1,1,0,1,3,0,3,2,1,2,0,0,1.1191,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.4475,0.4675,0.685,0.775,0.8525,0.945,0.155387149617878,0.2,0.2,2.4,0.4,0.6,0.576859899402033,0.321428571428571,1.23056316956332,6,0,6,-6,6
"S232","SONA",29.9343333333333,"26/02/2024","False","Female",18,"High School","White",2.35381666666667,2,1,0,1,3,3,0,1,1,1,1,2,0,2,2,2,1,2,2,2,1,3,1,0,1,1,2.11298500000002,1,0,0.61,0.7,0.35,0.56,0.5,0.6,0.45,0.26,1,0.14,0.5,0.32,0.61,0.67,0.67,0.46,0.54,0.91,0.42,0.25,0.15,0,0.58,1.83253333333333,4,1,0,0,3,3,4,0,0,1,0,2,4,1,3,0,3,1,3,3,0,0,1.95471666666667,3,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0.1225,0.8525,0.4725,0.6825,0.47,0.5875,0.104811205301254,0.8,2.2,1.6,0.6,1.6,0.73263847181568,0.380952380952381,1.5039630187956,3,1,4,-2,2
"S233","SONA",18.1446333333333,"26/02/2024","False","Female",19,"Bachelor","White",0.86215,1,2,0,0,2,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.850110000000397,4,0.64,0.93,0.79,0.18,0.29,0,0.77,0,0.2,0.97,0.24,0.5,0.65,0.68,0.39,0.36,0.31,0.66,0.33,0.35,0.33,0.65,0.67,0.67,0.8045,3,2,2,3,1,3,2,2,3,1,3,3,2,2,3,1,4,3,2,2,0,2,0.8027,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0.5525,0.7175,0.46,0.5275,0.5425,0.815,0.241413966953359,0,0,1.2,0.2,0.4,0.36631923590784,0.547619047619048,0.928388260322567,2,5,7,3,-3
"S234","SONA",34.2007,"26/02/2024","False","Female",19,"Doctorate","White",8.78968333333333,2,3,1,2,3,0,2,3,3,1,0,2,1,0,2,3,1,2,1,3,0,1,2,1,1,3,6.20847166666637,1,0.21,1,0.35,0.91,0.81,0.25,0.52,0.17,0.26,1,0,0.49,0.28,0.73,0,0.69,0.17,0,0.5,0.5,0.5,0,0.73,0,1.30246666666667,4,3,1,0,1,1,1,2,1,3,1,0,2,0,0,1,2,2,1,3,2,0,1.47376666666667,3,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0.48,0.8375,0.8575,0.6925,0.815,0.765,0.20786163284633,1.4,0.8,2.8,0.8,2.4,0.712536679414638,0.321428571428571,1.00711752754369,3,3,6,0,0
"S235","SONA",21.1825166666667,"26/02/2024","False","Female",18,"High School","White",1.52626666666667,4,1,0,1,1,0,0,2,0,1,0,2,0,2,2,3,1,2,3,1,0,2,0,1,1,2,1.37939666666667,1,0.3,0.82,0.32,0.52,0.93,0,0.5,0,0.03,0.55,0.59,0,0,0.6,0.52,0.69,0.04,0.01,0.54,0,0,0.8,0.23,0.04,1.41848333333333,3,1,2,1,1,0,1,0,0,2,0,0,1,1,1,0,0,2,0,1,0,0,1.72916666666667,2,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0.3725,0.37,0.6625,0.975,0.9875,0.855,0.122732597608969,0.8,1.4,1.6,0.2,1.6,0.784793192020819,0.166666666666667,0.730296743340221,2,1,3,-1,1
"S236","SONA",27.38325,"26/02/2024","False","Female",19,"Other","White",2.2119,3,3,0,0,2,1,0,2,1,2,0,1,0,0,1,1,1,1,2,1,0,2,1,1,1,1,2.10642666666508,4,0,0.77,0.77,0.65,0.38,0,0.64,0,0.27,1,0,0,0.4,0.86,0.28,0.74,0.22,0,0.67,0,0.54,0,0,0,2.68425,1,2,1,0,2,0,2,0,0,1,1,0,2,1,0,0,2,0,0,2,0,0,2.2047,2,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0.1725,0.9425,0.7225,0.5425,1,0.9075,0.106079111650371,0.8,1.2,1.8,0.4,0.8,0.692434887013597,0.19047619047619,0.889087279447969,3,1,4,-2,2
"S237","SONA",24.11725,"26/02/2024","False","Female",21,"High School","White",1.94053333333333,2,2,0,1,3,0,1,2,0,2,2,1,0,0,1,2,1,2,0,0,0,1,1,1,0,2,1.29318333333333,3,0.66,0.95,0.16,0.71,0.5,0.61,0.36,0.44,0.12,0.71,0.13,0.68,0.25,0.67,0.05,0.8,0.75,1,0.37,0.21,0.01,0.66,0.49,1,1.46231666666667,1,3,0,1,2,3,3,2,0,3,2,3,2,0,4,3,3,4,2,2,0,0,1.83985,4,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0.605,0.52,0.6775,0.78,0.1775,0.7425,0.215217232039997,0.4,0.4,2,1,1.2,0.727842384546191,0.5,1.34164078649987,3,4,7,1,-1
"S238","SONA",28.76665,"27/02/2024","False","Male",18,"Bachelor","White",3.03423333333333,3,0,0,0,0,2,1,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,0,0,1,3.402745,4,0.14,0.79,0.8,0.23,0.18,0.03,0.82,0.12,0.6,0.55,0.11,0.3,0.61,0.64,0.84,0.1,0.7,0.07,0.74,0.26,0.53,0.02,0.21,0.07,2.42541666666667,1,3,2,0,2,0,2,0,1,2,1,1,1,0,0,0,1,1,1,2,0,0,1.76506666666667,2,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0.1975,0.805,0.1975,0.36,0.8825,0.7625,0.111791272844867,0,0.8,0.6,0.2,0.6,0.614545600806773,0.238095238095238,0.920662287496912,2,1,3,-1,1
"S239","Experimenter1",33.6980166666667,"27/02/2024","False","Female",21,"Bachelor","White",3.83483333333333,2,2,2,2,3,1,1,2,1,1,1,2,1,2,2,2,1,3,2,3,0,2,2,1,2,3,2.0844,3,0.26,0.77,0.63,0.76,0.6,0.43,0.72,0.64,0.74,0.74,0.31,0.18,0.56,0.65,0.7,0.62,0.63,0.19,0.81,0.41,0.33,0.22,0.7,0.16,2.82786666666667,1,3,2,0,1,1,1,2,3,3,2,2,2,2,3,1,3,3,2,3,2,2,1.76208333333333,4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0.3575,0.71,0.5125,0.4925,0.76,0.5925,0.165487705960235,1.6,1.8,2.4,1,2,0.660715381275627,0.511904761904762,0.864649667564296,1,3,4,2,-2
"S240","SONA",26.2067333333333,"27/02/2024","False","Female",23,"Bachelor","White",1.5589,3,2,0,2,3,1,0,1,3,1,0,2,1,2,2,2,1,3,1,1,0,2,3,0,0,3,2.035425,4,0.22,0.66,0.91,0.93,0.9,0.16,0.25,0.11,1,0.89,0.6,0.49,0.08,0.78,0.23,0.82,0.11,0,0.36,0,0,0.03,0.77,0.67,1.95755,2,3,2,0,0,3,1,1,1,0,1,1,3,3,3,0,2,2,4,3,4,0,1.90866666666667,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.595,0.7925,0.8525,0.705,0.67,0.8325,0.25242147185744,0.6,1.8,2.2,0.2,2.4,0.643195752715688,0.44047619047619,1.37494588638106,7,0,7,-7,7
"S241","SONA",177.49805,"27/02/2024","False","Female",20,"High School","Middle Eastern",2.33118333333333,3,1,0,1,2,0,0,1,0,3,0,2,1,3,0,0,0,0,0,3,0,3,0,1,1,1,1.94606999999881,1,1,1,0.5,0.5,0.72,0,0.17,0,0.13,1,0,0.27,0.28,0.81,0.35,0.64,0.15,0.66,0.08,0.17,0.23,0,1,0,1.88608333333333,2,0,1,0,1,1,0,0,0,1,1,3,3,1,0,0,4,2,3,1,0,1,154.143416666667,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0.9375,0.875,0.66,0.77,0.7675,0.91,0.160343006970736,1.2,1.2,1.4,0.6,0.2,1.01503794540617,0.273809523809524,1.22085060121056,1,4,5,3,-3
"S242","SONA",24.5334166666667,"28/02/2024","False","Female",20,"High School","White",1.22628333333333,2,3,1,1,3,0,1,3,1,2,1,2,0,0,1,0,1,3,0,0,1,2,0,1,1,2,1.33119333333572,1,0.74,0.84,0.76,0.67,0.55,0.21,0,0.16,0.25,0.7,0.54,0.61,0.37,0.72,0.34,0.79,0.21,0.35,0.27,0.13,0.4,0.31,0.64,0.43,1.04411666666667,3,3,2,1,2,3,3,1,3,3,2,3,3,3,1,3,3,3,3,3,2,1,1.22738333333333,4,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0.7775,0.6525,0.7275,0.6325,0.6,0.8175,0.112956957186225,0.6,0.4,2.6,1.2,1.2,0.706506203304108,0.607142857142857,0.810643483377778,4,2,6,-2,2
"S243","SONA",28.6584666666667,"29/02/2024","False","Female",18,"High School","White",2.19825,4,3,0,0,3,0,0,3,0,1,0,1,0,2,1,3,0,2,0,0,0,2,0,0,0,2,1.59505333333313,3,0,1,0.13,0.68,1,0.21,0.64,0.01,0.37,0.71,0.31,0.11,0,1,0.23,0.88,0,0,0.82,0,0,0.65,0,0.89,2.47563333333333,1,4,1,1,3,4,4,1,4,3,4,4,3,3,1,2,4,4,4,3,3,2,1.93726666666667,2,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0.135,0.47,0.8325,0.9075,0.6975,0.9975,0.197028848847825,0,0.8,2.4,0.2,1.2,0.748185276510147,0.738095238095238,1.16086995293144,2,1,3,-1,1
"S244","SONA",30.1794666666667,"29/02/2024","False","Female",18,"High School","White",4.81978333333333,4,1,0,0,2,0,0,2,2,2,0,2,1,0,2,3,2,3,1,2,0,1,0,1,2,2,1.46716333333254,3,0.54,0.88,0.3,0.8,0.28,0.12,0.5,0.27,0.33,0.55,0.73,0.45,0.52,0.73,0.54,0.67,0.55,0.32,0.68,0.23,0.28,0.61,0.37,0.35,1.523,2,3,2,3,2,1,3,1,0,3,1,3,2,3,1,3,2,2,0,3,0,0,1.59365,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0.4325,0.3775,0.595,0.5375,0.69,0.7775,0.134993756560903,1.6,0.4,1.8,0.4,2,0.732366154580359,0.452380952380952,1.16700675315302,2,2,4,0,0
"S245","SONA",26.95475,"29/02/2024","False","Female",20,"High School","White",2.24521666666667,4,3,0,1,2,0,1,1,0,1,1,1,0,1,2,2,1,1,2,1,0,1,1,0,1,2,1.95618833333651,2,0.2,0.9,0.5,0.31,0.5,0.13,0.5,0.3,0.58,0.69,0.54,0.49,0.41,0.61,0.58,0.59,0.44,0,0.81,0.26,0.64,0.35,0.14,0,1.92263333333333,3,1,2,0,1,2,2,0,3,0,1,3,1,2,0,0,2,3,1,3,1,0,3.1208,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0.2575,0.575,0.47,0.4675,0.845,0.7375,0.1430576034352,0.6,1,1.8,0.6,1.2,0.695174389853006,0.333333333333333,1.11055541659718,3,1,4,-2,2
"S246","SONA",17.7194333333333,"29/02/2024","False","Female",18,"Doctorate","White",1.11531666666667,4,1,2,2,2,0,2,2,1,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,0.899113333333532,3,0.55,0.55,0.47,0.56,0.6,0.45,0.51,0.56,0.45,0.47,0.82,0.44,0.44,0.34,0.34,0.68,0.31,0.69,0.39,0.33,0.4,0.46,0.71,0.62,1.02775,2,2,2,0,3,2,3,1,2,2,1,1,3,1,2,1,2,1,1,3,1,0,1.71243333333333,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0.59,0.415,0.6475,0.5775,0.45,0.5,0.101103878268095,2.2,1.6,1.8,2,2,0.499192232637276,0.404761904761905,0.920662287496912,4,2,6,-2,2
"S247","SONA",21.7673,"01/03/2024","False","Female",18,"Bachelor","White",1.78581666666667,1,3,0,0,3,0,0,2,2,2,0,2,0,1,3,2,0,1,0,2,0,2,1,0,1,2,1.1506,3,0.4,0.93,0.86,0.62,0.71,0.34,0.82,0.14,0.64,0.75,0.57,0.53,0.09,0.89,0.24,0.63,0.16,0.14,0.59,0.12,0.13,0.13,0.34,0.06,1.22641666666667,4,4,1,0,1,1,2,1,2,2,0,2,2,1,1,1,4,2,3,2,1,0,1.30425,2,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0.3325,0.7275,0.7125,0.7125,0.7325,0.89,0.151487767906386,0.6,0.8,2.4,0.4,1.6,0.862682478227642,0.392857142857143,1.12122382116278,2,2,4,0,0
"S248","SONA",22.1044833333333,"02/03/2024","False","Female",18,"High School","White",1.55508333333333,2,2,0,0,2,0,0,2,0,1,2,2,0,1,2,2,0,0,1,1,0,2,0,0,1,3,1.92414666666687,4,0.11,0.88,0.24,0.64,0.5,0.15,0.37,0.14,0.67,0.8,0.68,0.57,0.5,0.59,0.39,0.76,0.57,0.15,0.85,0.23,0.76,0.59,0.01,0.37,1.51361666666667,1,3,2,2,3,3,4,0,2,3,2,1,3,0,0,0,3,2,3,2,1,0,1.67106666666667,3,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0.225,0.4425,0.61,0.3925,0.69,0.775,0.18745041488725,0.4,0.8,2.2,0.6,0.8,0.764293697109889,0.464285714285714,1.27615493909299,4,2,6,-2,2
"S249","SONA",20.1522166666667,"02/03/2024","False","Female",18,"High School","White",1.74638333333333,3,3,2,2,3,1,0,3,2,1,0,2,0,0,2,2,2,3,1,1,0,1,1,2,0,3,1.63615,2,0.34,0.81,0.57,0.94,0.2,0.25,0.18,0.31,0.5,0.59,0.68,0.43,0.65,0.7,0.07,0.9,0.26,0.56,0.27,0.22,0.37,0.55,0.69,0.21,1.09091666666667,4,3,3,1,0,2,1,2,1,2,2,3,0,3,0,2,1,0,3,2,0,0,1.06643333333333,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0.645,0.4825,0.8775,0.42,0.6375,0.745,0.13939532784648,1,0.8,2.8,0.6,2.2,0.647213595499958,0.369047619047619,1.16700675315302,1,2,3,1,-1
"S250","SONA",19.35475,"02/03/2024","False","Female",20,"High School","White",1.35215,1,1,0,2,2,0,0,2,2,2,0,2,2,2,2,2,2,3,1,1,0,2,2,2,1,2,1.01065500000119,2,0.63,0.88,0,0.62,1,0,0.65,0,0,0,0.65,0.09,0,0.72,0.58,0.58,0,0.5,0.57,0.31,0,1,0.54,0.67,1.13376666666667,4,3,3,1,3,1,3,1,4,1,3,2,4,3,0,1,2,2,4,3,3,0,1.12718333333333,3,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0.4875,0.0875,0.655,1,0.685,0.8225,0.168303539236587,1.6,1.4,1.8,0.4,2.2,0.646200826100983,0.55952380952381,1.26114082896249,2,4,6,2,-2
"S251","SONA",52.4652666666667,"03/03/2024","False","Male",32,"High School","White",14.6829,4,2,2,0,1,0,2,0,0,3,1,1,2,0,1,0,0,2,0,2,1,2,0,2,2,2,1.50088333333333,2,1,0.77,0.07,0.66,1,0.69,0.21,0.59,0.31,0.4,0.65,1,0,0.61,0.74,0.21,0.11,1,0.24,0.64,0.18,0.85,0.67,1,1.41408333333333,3,2,0,0,1,3,1,0,3,2,3,1,3,3,1,1,3,1,2,1,0,0,2.16253333333333,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0.805,0.2425,0.505,0.8775,0.0775,0.5375,0.186442730488345,1.6,0.4,1.2,1.8,0.6,0.87132032521358,0.369047619047619,1.16700675315302,2,2,4,0,0
"S252","SONA",23.6475833333333,"04/03/2024","False","Female",18,"High School","White",1.72318333333333,2,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,2,2,1,0,0,0,1,2,0,2,1.56592666666508,3,0.61,0.89,0.3,0.03,0.4,0.12,0.16,0.52,0.25,0.69,0.11,0.28,0.53,0.92,0.66,0.41,0.32,0.1,0.13,0.1,0.16,0,0.7,0.03,1.5001,4,2,3,0,1,2,2,0,1,2,3,0,2,1,0,0,2,3,3,1,0,0,1.56948333333333,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0.755,0.72,0.365,0.615,0.8675,0.7975,0.20460054046032,1,0.8,0.8,0.2,0.8,0.713549448813613,0.333333333333333,1.15470053837925,1,0,1,-1,1
"S253","SONA",23.39045,"04/03/2024","False","Female",19,"High School","White",2.21643333333333,2,2,0,1,2,0,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1.8666,1,0.39,0.87,0.8,0.53,0.45,0.25,0.39,0.26,0.33,0.86,0.07,0.52,0.37,0.98,0.21,0.62,0.57,0.72,0.5,0.18,0.35,0.43,0.54,0.57,1.33033333333333,4,2,3,0,2,2,2,2,3,1,2,1,3,3,3,1,2,3,3,2,0,0,2.05198333333333,3,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0.51,0.79,0.5925,0.6,0.485,0.8525,0.133111056472197,0,0.2,2,0.4,0.4,0.377872668801008,0.476190476190476,1.04425867986634,3,2,5,-1,1
"S254","SONA",23.1246666666667,"04/03/2024","False","Female",19,"High School","White",2.28246666666667,3,2,0,2,3,2,0,3,1,1,0,3,0,2,2,3,0,3,2,0,0,2,2,0,0,1,1.58565,2,0.13,0.24,0.99,0.28,0.24,0.25,0.96,0.33,0.75,1,0.04,0.2,0.69,0.32,0.16,0.85,0.58,0.33,0.97,0.33,0.81,0.01,0.01,0.57,1.38178333333333,1,3,1,2,4,1,3,1,2,0,1,2,2,1,1,2,4,1,0,2,1,0,1.49188333333333,4,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0.0525,0.985,0.5975,0.2475,0.6625,0.475,0.133783555849061,0,2,2.4,0.2,2.2,0.43566016260679,0.404761904761905,1.16086995293144,0,1,1,1,-1
