"Participant","Experimenter","Experiment_Duration","Date","Mobile","Gender","Age","Education","Ethnicity","PID5_Duration","PID5_Order","PID5_NegativeAffect_10","PID5_Antagonism_25","PID5_Psychoticism_24","PID5_NegativeAffect_8","PID5_Detachment_14","PID5_Antagonism_22","PID5_NegativeAffect_9","PID5_Psychoticism_12","PID5_Antagonism_19","PID5_Antagonism_20","PID5_NegativeAffect_11","PID5_Disinhibition_1","PID5_Detachment_13","PID5_Psychoticism_7","PID5_Psychoticism_21","PID5_Disinhibition_6","PID5_Psychoticism_23","PID5_Detachment_18","PID5_Disinhibition_3","PID5_Antagonism_17","PID5_Detachment_4","PID5_Detachment_16","PID5_Disinhibition_5","PID5_Disinhibition_2","PID5_NegativeAffect_15","IPIP6_Duration","IPIP6_Order","IPIP6_Extraversion_1","IPIP6_Agreeableness_2","IPIP6_Conscientiousness_3","IPIP6_Neuroticism_4","IPIP6_Openness_5","IPIP6_HonestyHumility_6_R","IPIP6_Extraversion_7_R","IPIP6_Agreeableness_8_R","IPIP6_Openness_9_R","IPIP6_Conscientiousness_10","IPIP6_Conscientiousness_11_R","IPIP6_HonestyHumility_12_R","IPIP6_Openness_13_R","IPIP6_Agreeableness_14","IPIP6_Neuroticism_15_R","IPIP6_Neuroticism_16","IPIP6_Neuroticism_17_R","IPIP6_HonestyHumility_18_R","IPIP6_Extraversion_19_R","IPIP6_Agreeableness_20_R","IPIP6_Openness_21_R","IPIP6_Conscientiousness_22_R","IPIP6_Extraversion_23","IPIP6_HonestyHumility_24_R","SSS_Duration","SSS_Order","SSS_19","SSS_10","SSS_20","SSS_14","SSS_7","SSS_11","SSS_9","SSS_2","SSS_16","SSS_5","SSS_18","SSS_1","SSS_8","SSS_17","SSS_3","SSS_21","SSS_4","SSS_12","SSS_13","SSS_6","SSS_15","MIST_Duration","MIST_Order","MIST_Real_A_3","MIST_Real_B_6","MIST_Fake_C_13","MIST_Real_B_7","MIST_Fake_D_16","MIST_Fake_C_10","MIST_Fake_D_15","MIST_Fake_C_9","MIST_Real_A_2","MIST_Real_A_1","MIST_Real_B_8","MIST_Real_A_5","MIST_Fake_D_14","MIST_Fake_C_11","MIST_Fake_C_12","MIST_Real_A_4","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","IPIP6_SD","PID5_Disinhibition","PID5_Detachment","PID5_NegativeAffect","PID5_Antagonism","PID5_Psychoticism","PID5_SD","SSS_General","SSS_SD","MIST_RealDetection","MIST_FakeDetection","MIST_Discernment","MIST_Distrust","MIST_Naivete"
"S011","Experimenter2",20.90675,"24/01/2024","False","Female",35,"High School","White",1.419,4,2,0,1,2,1,0,3,0,2,1,1,2,0,2,3,1,1,1,2,0,2,1,1,2,2,1.58308333333333,3,0.84,0.63,0.36,0.48,0.65,0.13,0.16,0.09,0.22,1,0,0.66,0.08,0.62,0.11,0.78,0.61,0.18,0.07,0.12,0.92,0,0.89,0.18,1.63223333333333,1,1,2,0,3,4,2,0,3,4,2,3,2,3,3,1,1,4,3,1,2,0,0.632,2,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0.875,0.84,0.635,0.6075,0.7125,0.76,0.229353113013215,1.6,1,2,0.6,1.4,0.799307747195463,0.523809523809524,1.30018313728343,4,6,10,2,-2
"S012","Experimenter_DM",32.0751833333333,"24/01/2024","False","Female",45,"Bachelor","Mixed",2.5832,1,0,0,0,3,2,2,1,2,0,0,2,0,3,2,2,0,2,0,2,0,0,3,3,0,2,1.9854,4,0.1,0.8,0.17,0.36,0.98,0.11,0.36,0.01,0.09,0.74,0.81,0.02,0.01,0.96,0.4,0.32,0.87,0.12,0.93,0.36,0.24,0.23,0.18,0.21,1.75085,3,1,0,0,0,2,2,0,1,0,1,1,0,0,0,0,2,1,1,1,1,0,2.21218333333333,2,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0.2475,0.4675,0.3525,0.91,0.885,0.8475,0.189419160560594,1,1.6,1.6,0.4,1.6,1.17196369165648,0.166666666666667,0.730296743340221,2,4,6,2,-2
"S013","Experimenter_DM",55.1836833333333,"26/01/2024","False","Male",51,"High School",NA,10.9862333333333,4,1,3,0,0,3,0,0,3,2,3,0,1,0,2,2,3,2,1,0,3,3,3,2,0,0,4.91449333333348,3,0.23,0.6,0.25,0.27,0.9,0.36,0.29,0.33,0.18,0.64,0.66,0.19,0,0.6,0.87,0.5,0.26,0,0.39,1,0.7,0.66,0,0.03,4.89063333333333,2,1,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,3,3,4,0,0,4.19198333333333,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0.3875,0.3925,0.41,0.755,0.855,0.4675,0.260058642561519,1.2,2,0.2,2.2,1.8,1.11291064699289,0.19047619047619,1.22085060121056,3,5,8,2,-2
"S014","Website",33.6450833333333,"26/01/2024","False","Female",56,"High School","White",2.25716666666667,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,2,1,2,1,1,2,0,0,2,1.91809833333337,3,0.3,0.5,0.36,0.35,0.34,0.5,0.5,0.66,0.59,0.85,0.31,0.5,0.35,0.35,0.69,0.5,0.64,0.14,0.36,0.66,0.75,0.36,0.5,0.36,2.03925,2,1,0,0,0,2,1,0,2,0,2,3,1,0,1,0,2,3,2,2,1,0,2.54796666666667,4,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0.485,0.635,0.38,0.4125,0.625,0.3825,0.141101086525272,0.4,1.2,1.2,1,1,0.499192232637276,0.273809523809524,1.04425867986634,1,2,3,1,-1
"S015","Experimenter_DM",36.0088666666667,"26/01/2024","False","Male",44,"Master","White",10.0373333333333,1,0,1,1,0,1,2,3,0,0,0,2,1,2,1,2,0,2,1,1,1,0,0,0,0,0,1.09718833333333,4,0.62,0.95,0.4,0.23,0.91,0.7,0.29,0.17,0.18,0.59,0.67,0.63,0.13,0.75,0.82,0.24,0.81,0.61,0.46,0.19,0.26,0.34,0.83,0.33,1.24946666666667,3,3,2,0,1,2,1,1,0,4,1,0,2,1,1,0,3,2,2,3,1,0,2.0707,2,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0.675,0.495,0.21,0.835,0.4325,0.835,0.104914050120039,0.4,0.8,1,0.8,1.2,0.894383239896098,0.357142857142857,1.16496474502144,4,5,9,1,-1
"S016","Experimenter_DM",34.0997666666667,"26/01/2024","False","Male",64,"Master","White",2.36211666666667,4,0,1,0,0,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1.39572333333492,3,0.63,0.68,0.65,0.18,0.67,0.5,0.42,0.42,0.33,0.54,0.32,0.35,0.19,0.63,0.64,0.31,0.71,0.32,0.33,0.32,0.33,0.28,0.6,0.39,1.70366666666667,1,0,0,0,1,0,2,0,1,0,1,1,1,0,0,0,0,1,3,1,1,0,1.77548333333333,2,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0.62,0.6475,0.285,0.705,0.61,0.6425,0.0648163412313661,0.4,0.6,0.4,0.8,0.2,0.576859899402033,0.154761904761905,0.804747816162957,1,0,1,-1,1
"S017","Experimenter_DM",27.5837833333333,"26/01/2024","False","Male",49,"High School","White",2.27255,2,0,0,0,0,2,1,0,0,2,0,2,0,1,0,0,0,1,3,2,2,2,2,2,1,2,1.74935,3,0.68,0,0.04,0.13,0.33,0.13,0.63,0.91,0,0.62,0.26,0.33,0.16,0.24,0.67,0.36,0.94,0.73,0.37,0.75,0.4,0.73,0.17,0.17,1.8173,1,0,0,0,0,1,1,0,2,2,0,1,1,1,0,1,1,0,2,2,1,0,1.89756666666667,4,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0.4625,0.4175,0.22,0.6925,0.66,0.145,0.232318162793967,1,2,0.8,1,0.2,0.849953098339367,0.19047619047619,0.768424485864545,3,4,7,1,-1
"S018","Experimenter_DM",34.6637666666667,"26/01/2024","False","Male",38,"Master","White",3.86138333333333,3,3,2,2,2,1,0,0,1,2,1,2,1,2,3,1,0,2,2,1,1,2,2,0,0,0,3.60187,2,0.63,0.76,0.75,0.75,0.89,0.5,0.66,0.88,0.14,0.89,0.14,0.88,0.16,0.68,0.5,0.84,0.5,0,0.51,0.58,0.22,0,0.29,0.59,3.02261666666667,1,0,2,0,1,2,1,0,1,0,1,1,0,1,0,1,0,2,2,1,0,0,3.377,4,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0.4375,0.875,0.6475,0.8425,0.5075,0.495,0.188778975223194,0.4,1.8,1.4,1.2,1.8,0.80197939851463,0.19047619047619,0.768424485864545,6,0,6,-6,6
"S019","Experimenter_DM",26.6641333333333,"26/01/2024","False","Male",44,"Master","White",2.69653333333333,4,1,0,2,2,2,0,2,0,1,2,1,0,1,2,3,3,1,1,2,0,2,1,0,1,2,2.23915,1,0.5,0.58,0.58,0.77,0.4,0.48,0.65,0.37,0.4,0.72,0.44,0.66,0.43,0.67,0.39,0.71,0.15,0.1,0.74,0.34,0.41,0.17,0.35,0.08,2.09758333333333,3,1,3,0,2,1,2,0,1,3,0,3,1,1,0,1,1,1,2,3,1,0,2.63316666666667,2,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0.365,0.6725,0.735,0.54,0.67,0.635,0.124818462991217,1.2,1.4,1.6,0.6,1.6,0.886777642429983,0.321428571428571,1.0555973258235,5,2,7,-3,3
"S020","Experimenter_DM",34.3961333333333,"26/01/2024","False","Male",60,"Other","White",5.24521666666667,1,0,0,2,0,0,0,1,3,2,0,0,0,1,1,2,0,2,0,0,1,0,2,0,0,0,3.50049666666662,3,0.13,0.6,0.54,0.1,0.96,0.72,0.72,0.72,0.82,0.82,0.14,0.14,0.02,0.03,0.5,0.05,0.5,0,0.66,0.54,0.66,0.07,0.27,0.08,2.88581666666667,2,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,2,1,0,1,0,0,1.62491666666667,4,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0.255,0.7875,0.2875,0.615,0.765,0.3425,0.249314668425001,0,0.6,0.2,0.6,2,0.588634951737267,0.130952380952381,0.601585207518238,4,4,8,0,0
