Participant,Experimenter,Experiment_Duration,Date,Mobile,Gender,Age,Education,Ethnicity,PID5_Duration,PID5_Order,PID5_NegativeAffect_10,PID5_Antagonism_25,PID5_Psychoticism_24,PID5_NegativeAffect_8,PID5_Detachment_14,PID5_Antagonism_22,PID5_NegativeAffect_9,PID5_Psychoticism_12,PID5_Antagonism_19,PID5_Antagonism_20,PID5_NegativeAffect_11,PID5_Disinhibition_1,PID5_Detachment_13,PID5_Psychoticism_7,PID5_Psychoticism_21,PID5_Disinhibition_6,PID5_Psychoticism_23,PID5_Detachment_18,PID5_Disinhibition_3,PID5_Antagonism_17,PID5_Detachment_4,PID5_Detachment_16,PID5_Disinhibition_5,PID5_Disinhibition_2,PID5_NegativeAffect_15,IPIP6_Duration,IPIP6_Order,IPIP6_Extraversion_1,IPIP6_Agreeableness_2,IPIP6_Conscientiousness_3,IPIP6_Neuroticism_4,IPIP6_Openness_5,IPIP6_HonestyHumility_6_R,IPIP6_Extraversion_7_R,IPIP6_Agreeableness_8_R,IPIP6_Openness_9_R,IPIP6_Conscientiousness_10,IPIP6_Conscientiousness_11_R,IPIP6_HonestyHumility_12_R,IPIP6_Openness_13_R,IPIP6_Agreeableness_14,IPIP6_Neuroticism_15_R,IPIP6_Neuroticism_16,IPIP6_Neuroticism_17_R,IPIP6_HonestyHumility_18_R,IPIP6_Extraversion_19_R,IPIP6_Agreeableness_20_R,IPIP6_Openness_21_R,IPIP6_Conscientiousness_22_R,IPIP6_Extraversion_23,IPIP6_HonestyHumility_24_R,SSS_Duration,SSS_Order,SSS_19,SSS_10,SSS_20,SSS_14,SSS_7,SSS_11,SSS_9,SSS_2,SSS_16,SSS_5,SSS_18,SSS_1,SSS_8,SSS_17,SSS_3,SSS_21,SSS_4,SSS_12,SSS_13,SSS_6,SSS_15,MIST_Duration,MIST_Order,MIST_Real_A_3,MIST_Real_B_6,MIST_Fake_C_13,MIST_Real_B_7,MIST_Fake_D_16,MIST_Fake_C_10,MIST_Fake_D_15,MIST_Fake_C_9,MIST_Real_A_2,MIST_Real_A_1,MIST_Real_B_8,MIST_Real_A_5,MIST_Fake_D_14,MIST_Fake_C_11,MIST_Fake_C_12,MIST_Real_A_4
S011,SONA,34.9914,15/03/2024,False,Female,20,High School,White,1.6732333333333334,1,3,0,2,3,0,0,2,1,2,0,2,0,1,1,2,1,2,2,1,0,2,1,2,0,1,2.0189833333333334,4,0.28,0.78,0.61,0.68,0.87,0.31,0.8,0.24,0.38,0.67,0.67,0.32,0.25,0.7,0.33,0.71,0.5,0.35,0.64,0.3,0.31,0.36,0.4,0.37,1.4868166666666667,3,3,3,3,3,1,3,2,2,3,2,3,3,1,1,0,3,3,0,3,2,0,6.1522499999999996,2,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0
S012,SONA,20.016849999999998,18/03/2024,False,Female,19,Bachelor,White,1.5497166666666666,2,2,1,1,1,0,1,1,1,2,2,3,3,2,3,2,3,2,1,2,1,3,2,3,3,2,0.979990000000596,1,0.56,0.36,0.5,0.34,0.18,0.76,0.09,0.25,0.81,0.7,0.77,0.75,0.83,0.07,0.88,0.68,0.22,0.29,0.37,0.32,0.35,0.28,0.8,0.74,1.1500166666666667,3,3,3,0,2,3,3,1,1,4,3,1,3,2,3,3,3,3,3,4,1,2,1.2492666666666667,4,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0
S013,SONA,28.66815,12/04/2024,False,Female,19,High School,Black,1.3602999999999998,4,2,0,2,3,1,0,3,2,1,0,1,1,0,2,2,2,3,1,2,1,2,1,0,2,2,3.990416666666667,2,0.76,1.0,0.86,0.95,1.0,0.1,0.61,0.05,0.18,0.48,0.64,0.66,0.12,0.98,0.5,0.95,0.87,0.2,0.7,0.17,0.5,0.77,0.86,0.14,0.8160000000000001,3,3,4,4,4,3,4,2,3,3,2,4,3,2,2,2,3,3,2,3,2,2,2.9107666666666665,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1
S014,SONA,21.733116666666668,24/04/2024,False,Female,18,High School,White,0.79875,2,2,0,2,2,0,0,1,2,1,0,2,0,3,2,2,0,3,0,1,0,2,1,0,1,2,1.1554466666658718,3,0.49,0.76,0.86,0.72,0.71,0.12,0.36,0.0,0.0,0.69,0.01,0.5,0.08,0.81,0.3,0.32,0.5,0.35,0.5,0.0,0.2,0.0,0.72,0.62,0.6337499999999999,4,4,3,2,2,1,2,1,1,2,2,3,1,3,1,3,2,3,3,3,0,0,0.8187833333333334,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0
S015,SONA,20.908216666666664,26/04/2024,False,Female,19,High School,White,1.59795,3,2,0,0,3,1,0,2,1,1,0,2,0,2,1,1,1,1,1,0,0,2,1,0,0,1,1.4593933333337306,2,0.17,0.91,0.3,0.32,0.0,0.17,0.8,0.22,0.56,0.67,0.4,0.63,0.93,0.74,0.16,0.77,0.24,0.0,0.91,0.26,0.23,0.85,0.23,0.0,1.5815,1,2,1,0,2,2,3,0,1,1,1,2,2,3,0,3,1,0,0,2,0,0,1.9595166666666666,4,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0
S016,SONA,41.830933333333334,03/05/2024,False,Female,21,Bachelor,White,7.977466666666667,2,3,1,2,2,0,0,2,0,2,0,2,1,0,2,2,3,2,2,2,0,2,0,2,2,2,3.3153383333335325,4,0.0,1.0,0.0,1.0,0.0,0.0,0.34,0.0,0.58,0.33,0.98,0.5,0.71,0.88,0.11,1.0,0.6,0.0,0.64,0.0,0.0,0.68,0.0,0.5,4.70155,1,4,3,2,2,1,2,0,1,4,1,2,1,3,0,2,4,2,1,3,0,0,3.7712333333333334,3,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0
S017,SONA,25.800283333333333,11/10/2024,False,Female,19,High School,White,1.8594499999999998,2,3,3,0,2,0,0,2,1,2,0,2,1,2,3,3,2,3,3,2,0,0,0,3,3,2,1.2468100000003974,1,0.92,0.72,0.16,0.62,0.89,0.07,0.05,0.04,0.19,0.13,0.9,0.03,0.05,0.84,0.84,0.68,0.67,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.5542,3,3,0,0,4,0,3,1,1,3,1,1,0,4,1,3,4,4,3,3,1,2,2.1406,4,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1
S018,SONA,44.795233333333336,11/10/2024,False,Female,22,High School,White,3.7121666666666666,2,1,1,2,3,0,1,2,2,0,0,0,2,2,2,2,3,2,1,2,1,1,1,2,1,1,4.968333333333334,1,0.51,0.4,0.34,0.64,0.79,0.06,0.27,0.36,0.23,0.34,0.77,0.15,0.14,0.57,0.61,0.21,0.22,0.5,0.54,0.43,0.15,0.76,0.75,0.4,1.9955500000000002,3,1,0,1,0,0,1,0,0,0,1,2,0,2,1,0,1,4,3,1,0,1,6.806933333333333,4,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
S019,SONA,25.7048,12/10/2024,False,Female,19,High School,White,2.40515,3,2,0,0,2,0,0,1,0,1,0,2,0,1,1,1,1,0,1,0,0,1,0,0,0,1,2.086680000000075,4,0.22,0.76,0.19,0.58,0.84,0.4,0.36,0.37,0.27,0.44,0.37,0.63,0.23,0.71,0.24,0.56,0.42,0.38,0.54,0.28,0.29,0.58,0.45,0.61,1.5823166666666666,2,2,0,2,2,0,1,1,1,0,0,3,2,2,3,1,2,3,2,1,0,0,2.0117166666666666,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
S020,SONA,23.102700000000002,14/10/2024,False,Female,19,High School,Mixed,2.4455833333333334,1,2,0,0,1,0,1,1,0,2,0,1,1,1,2,0,1,2,1,1,0,1,0,0,0,2,1.3992916666666666,2,0.35,0.67,0.18,0.09,0.31,0.02,0.31,0.36,0.22,0.63,0.24,0.06,0.62,0.4,0.46,0.59,0.05,0.69,0.54,0.18,0.36,0.24,0.12,0.77,1.5456,3,2,1,0,3,1,3,0,1,2,2,0,3,1,0,0,4,0,0,2,0,0,2.2468,4,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0
